Category,Energy Consumption (Mega Joules),Carbon Footprint (Metric Tons CO2e),Water Usage (Gallons),Waste Generation (Tons)
Renewable Energy Sources,800,1000,5000,200
Energy Efficient Technologies,1200,1500,6000,250
Green Buildings,600,750,4000,150
Water Conservation,1000,1250,7000,300
Waste Management,1400,1750,8000,350
Environmental Education,200,250,1000,50
Transportation Efficiency,1800,2250,9000,400
Sustainable Agriculture,1600,2000,8500,350
Pollution Control,1400,1750,8000,300
Climate Change Adaptation,1900,2400,9500,450
